virus	vírus, vírus, viroses, verificador de vírus, verificador de vírus
absolute	absoluto, total, toda, plena, valor absoluto, absolutamente necessária, verdadeiramente essencial, urgentemente necessário, mínimo absoluto, mínimo necessário, mínimo indispensável, mínimo dos mínimos



senses	juízo, razão, bom senso, cinco sentidos, dois sentidos, perder o juízo, perder a razão

ups	altos, subidas, perturbar, incomodar, estragar, indispor, chateado, preocupada, consternado, perturbado, transtorno, abalo, rio acima



worthy	digno, dignos, merecedor, válido, causa digna, causa justa, boa causa, causa nobre, objetivo digno, meta digna, objetivo valioso, digno sucessor, sucessor digno

serving	destinadas, porção, dose, porção (comida), porções, quantidade da porção, publicidade em linha
reward	prêmio, retribuição, remuneração, gratificante, recompensador, gratificantes, enriquecedora, recompensas, prémios, recompensados, premiados, premiado, recompensada
polite	educado, cortês, polido, delicado, educação, cortesia, delicadeza, gentileza

tale	conto, história, relato, lenda, talento, habilidade, vocação, talentoso, capacitada, dotado, banco de talentos, reserva de talentos

instructions	instruções, manual, manuais, recomendações, manual de instruções, instruções de operação, instruções de funcionamento, instruções de utilização, instruções de uso, instruções de utilização, instruções para utilização, instruções de manutenção, instruções para cuidar

blows	golpes, sopros, pancadas, socos, entrar em conflito
tabby	malhado
internal	interno, interior, próprios, intrínseco, Receita Federal, Serviço de Arrecadação, assuntos internos, questões internas, política interna
bitter	amargo, amargurado, indesejável, feroz, amargor, amargura, amargor, ressentimento, rancor, agridoce, frio cruel
adorable	adorável, adoráveis, encantador, dócil
y'all	
tested	testado, ensaiados, experimentados, ensaiadas, testado e comprovado, qualidade comprovada, qualidade verificada, produto testado
suggestion	sugestão, proposta, indicação, quaisquer sugestões, sugestões de melhoria, sugestões para melhorias, sugestões de melhoramento, sugestões de aperfeiçoamento, caixa de sugestão, caixa de sugestões
string	corda, série, barbante, conjunto, rigoroso, exigentes, severas, severo, fibroso, filiforme, linha de perfuração
mouse	mouse, rato, camundongo, tapete de rato, tapete de PC, roda do rato
marks	marcas, notas, manchas, aspas, artilheiro, atirador, pontaria
jewelry	jóias, bijuteria, caixa de jóias, porta-jóias, joalheria
debate	debate, questão, discussão, reflexão, debater, discutir, deliberar, considerar, debatedor, orador
com	conformidade, cumprimento, observância, adequação, compromisso, empenho, empenhamento, esforço
alike	igual, semelhante, parecido, similar, igualmente
pitch	campo, passo, inclinação, breu, jogar, assentar, plantar, montar, arremessador, lançador, jarro, cântaro, arremessos, alturas, lances, gramados


fax	telefax, fac-símile
distracted	distraído, desviada, desviadas
shelter	abrigo, albergue, alojamento, refúgio, abrigar, proteger, refugiar-se, esconder, protegido, abrigado, coberto, acolhido, abrigo de imposto, abrigo para animais, abrigo de animais
lovers	amantes, apreciadores, apaixonados, namorados, apaixonados por animais, apreciadores de arte, apreciadores de vinho

hart	veado, cervos
goose	ganso, groselha, pescoço de ganso, groselhas
foreign	estrangeiro, externo, exterior, internacional, divisas, moeda estrangeira, mercado cambial, divisas estrangeiras, estrangeiro, estrangeira, relações exteriores, assuntos externos, relações externas
escort	escolta, acompanhante, escoltar, acompanhar, escoltado, acompanhadas, escoltadas, serviço de acompanhantes, escolta policial
average	média, médio, normal, mediano, normais, em média, média ponderada, pessoa comum, indivíduo comum, homem comum, cidadão médio
twin	duplo, idênticos, paralelos, indissociáveis, gêmeo, parceiro, fio, barbante, gêmeos, gémeos, cintilar
testing	teste, ensaio, experimentação, experimental, laboratoriais, difícil, experimentais, teste de esforço, teste de estresse, teste de drogas, testes extensivos, testes exaustivos, teste aprofundado


constable	condestável, policial, guarda-principal
circus	circo, circos, tenda de circo, circo ambulante

audition	audição, ensaio, teste
tune	música, melodia, canção, tom, sintonizar, afinar, ajustar, regular, atento, afinado, adaptado, ligado, sintonizar, afinar

mud	lama, barro, lodo, turva, lamacento, enlameado
mask	máscara, mascarar, ocultar, encobrir, esconder, fita adesiva, encobrimento, ocultação, mascarado, ocultados, disfarçado, dissimulada
helpless	desamparado, indefeso, impotente, impotência, desamparo, desespero, subsídio de dependência
feeding	alimentação, pastagem, alimentadores, tubo de alimentação, tubo alimentador, alimentação por sonda, sistema de alimentação, dispositivo de alimentação, forma de alimentação

dated	datado, ultrapassada, envelhecido

robbery	roubo, assalto à mão armada, roubo armado, assalto a banco, roubo de bancos, roubo à luz do dia
objection	objecção, oposição, contestação, censurável, ofensivo, questionável, repreensível, objecções, objeções, acusações, comunicação de objecções, comunicação de acusações




behave	comportar-se, agir, comportado, lidar, Comporte-se!
valuable	valioso, inestimável, de valor, precioso, valores, objetos de valor, preciosidades, carácter oneroso, montante pecuniário, valioso ativo, recurso valioso, ativo valioso, bem precioso

shadows	bastidores


creative	criativo, criador, criadoras, artística, escrita criativa, redação criativa, diretor criativo, diretora de criação, pensamento criativo
courtroom	tribunal
confusing	confuso, desconcertante, estranho, inextricável
beast	besta, fera, animal, monstro, bruto, bestiais, brutal, bestial, bestial, burro de carga, animal de caça, animal predador
tub	banheira, cuba, tonel, tubo, bisnaga, cânula, trompa
talented	talentoso, capacitada, dotado, pessoas talentosas, pessoas de talento, gente talentosa, muito talentoso, pessoa dotada, pessoa talentosa
struck	impressionado, chocado, atingido, golpeado, atingido por um raio, estar louco por alguém
smarter	mais esperto
mistaken	enganado, errado, confundido, confusão de identidade, errada convicção, convicção errada, estar enganado

customer	cliente, consumidor, usuário, freguês, atendimento ao cliente, serviço ao cliente, apoio ao cliente, atenção ao cliente, atendimento ao cliente, apoio ao cliente, assistência ao cliente, atenção ao cliente, apoio ao cliente, suporte ao cliente, atendimento ao cliente, serviço ao cliente
bizarre	bizarro, estranho, esquisito, grotesco, bizarrice

punk	rebelde, punk rock, banda punk, conjunto punk
motherfucker	filho da puta, desgraçado
holds	porões, porões de carga
focused	focado, concentrado, orientado, especializada, dedicado, atenção focada, apoio focalizado, trabalho focado

alert	alerta, indicação, aviso, alertar, prevenir, atento, desperta, sensíveis, vigilante
activity	actividades, atividade, operação, actividade empresarial, atividade empresarial, atividade de negócios, atividade comercial, atividade de negociação, atividade comercial, atividade criminal, atividade criminosa

sticks	varas, paus, palitos, gravetos, varas de madeira, tacos de hóquei, incensos
singer	cantor, cantora, intérprete, cantador, cantor líder, cantor-compositor, cantor popular

highway	estrada, rodovia, via rápida, bandido de estrada, código da estrada, código de trânsito, roubo em rodovias, assalto na estrada

foolish	tolo, insensato, louco, bobo, loucura, insensatez, tolice, estupidez, ato insensato
compliment	elogio, cumprimento, elogiar, cumprimentar, felicitar, congratular, complementar, gratuito, grátis, elogioso, elogios, cumprimentos, felicitações, elogiado
blessed	abençoado, bendito, bem-aventurado, privilegiado, bem-aventurança, Santíssimo Sacramento, Nossa Senhora
bastards	sacanas,  
attend	participar, ir a algo, atender, assistir, presença, assiduidade, comparecimento, atendimento, atendida, assistido, presenciado, frequentados, presentes
scheme	esquema, sistema, plano, método, conspirar, regime de pensão, regime de pensões, fundo de pensões, esquema de pensão, esquema de cor, esquema de cores, esquema de arranjo



aid	ajuda, auxílio, socorro, ajudar, socorrer, ajudas, auxílios, aids, SIDA
worker	trabalhador, empregado, trabalhadora, assistente social, pessoa trabalhadora, batalhador, funcionário de escritório
wheelchair	cadeira de rodas, cadeiras de rodas, acesso de cadeirantes, basquetebol em cadeira de rodas
protective	de proteção, protetor, protector, protetivo, providência cautelar, medida cautelar, vestuário de protecção, capa protetora, tampa protetora, capa de proteção, tampa de proteção
poetry	poesia, poética, leitura de poemas, leitura de poesia, coletânea de poesias, coleção de poemas, poesia concreta
gentle	suave, suaves, gentil, delicado, senhor, cavalheiro, mansidão, doçura, suavidade, docilidade, cordial, bem-educado
script	script, roteiro, guião, escrita, roteirização, Escrituras Sagradas, ·Bíblia
reverse	reverso, inverso, contrário, invertido, reverso, oposto, estorno, reverter, inverter, retroceder, revertida, invertido, revertidos, estornados, engenharia reversa, retrotécnica, retroengenharia
picnic	piquenique, merenda, cesto de piquenique, fazer um piquenique, manta para piqueniques

intended	destinado, pretendido, voltado, dirigido, uso pretendido, utilização prevista, uso previsto, utilização pretendida, objetivo pretendido, fim previsto, utilização prevista, fim pretendido, destinatário pretendido, destinatário visado, destinatário previsto, beneficiário pretendido
construction	construção, obra, estrutura, montagem, local da construção, local de construção, estaleiro de construção, local das obras, em construção, trabalhador da construção civil, trabalhador da construção, pedreiro
cage	gaiola, jaula, grade, cela, engaiolar, caixa torácica, enjaulado, gaiolas, jaulas, covos


voices	vozes, vozes críticas, diferentes vozes, vozes diferentes

stink	fedor, feder, fedorento, malcheiroso, fedorento, fétido, malcheiroso

pour	verter, despejar, servir, chover a cântaros, torrencial, torrencial, derramado, depositado, ponto de fluidez, ponto de escoamento
effects	efeitos, consequências, impactos, repercussão, efeitos secundários, efeitos colaterais, efeitos laterais, reações adversas, pertences pessoais, bens pessoais, objetos pessoais, efeitos adversos, efeitos negativos, efeitos nocivos, efeitos nefastos

tower	torre, fortaleza, gigantesco, alterosa, torre de resfriamento, torre de refrigeração, torre de arrefecimento, grua torre

slide	slide, deslize, deslizamento, diapositivo, deslizar, escorregar, patinar, deslizador, válvula, válvula de deslizamento, válvula de gaveta
ruining	
recent	recentes, recente, últimas, novo, nos últimos anos, em anos mais recentes


filling	enchimento, preenchimento, recheio, enchedora, recheios, enchimento, preenchimento, estação de serviço, estação de abastecimento, posto de gasolina, posto de reabastecimento
exit	saída, escoamento, sair, estratégia de saída, estratégia de retirada, estratégia de desinvestimento, saídas
cruise	cruzeiro, viajar, fazer um cruzeiro, cruzar, controlo de cruzeiro, controlo de velocidade, piloto automático, controlo da velocidade de cruzeiro, cruzador, navio de cruzeiro, cruzeiro marítimo
cottage	chalé, cabana, casinha, casa de campo, queijo fresco, queijo cottage, indústria artesanal, indústria caseira, casa de campo
corporate	corporativo, empresarial, empresariais, societária, finanças corporativas, financiamento de empresas, responsabilidade social corporativa, responsabilidade social empresarial, cultura empresarial, cultura corporativa, cultura da empresa, cultura de empresa

upside	sentido ascendente, parte de cima, de cabeça para baixo, invertido, prós, potencial de ganho


parked	estacionado

instance	exemplo, instância, caso, ocasião, por exemplo, em primeira instância, em alguns casos
grounds	razão, motivo, motivos, fundamentos, onda, motivos razoáveis, fundamentos razoáveis, motivos suficientes, razões suficientes, borras de café, borra de café

diary	diário, agenda, entrada de diário, entradas no diário, manter um diário, escrever um diário
complaining	reclamante, queixoso, parte requerente, parte reclamante, parte queixosa, parte acusadora
basis	base, fundamento, alicerce, baseado em, base regular, forma regular, modo regular, maneira regular, base diária, hábito diário, base quotidiana
wounded	ferido, baleado, lesado

politics	política, política de poder, política de força, política partidária, políticas públicas

confessed	confessado, confessados
wicked	perverso, mau, maligno, malvado, maldade, perversidade, iniqüidade, impiedade, bruxa má, feiticeira má
pipe	tubo, tubulação, cano, cachimbo, gasoduto, oleoduto, tubulação, tubagem, tubagem, canalização, tubulação, canalizado, conectada
merely	apenas, meramente, simplesmente, somente
massage	massagem, massagear
data	base de dados, banco de dados
colors	cores, tonalidades, colorações, cores reais, cores brilhantes, cores ousadas, cores arrojadas
chop	cortar, retalhar, talhar, costeleta, pedaço, picado, picadinha, picador, helicóptero, cutelo, cortador, agitado, instável
budget	orçamento, montante, verba, orçamental, orçamentais, orçamentário, acessível, orçamentação, elaboração de orçamentos, orçamentário, orçamentais, orçamental, orçamentais, financeiro, orçamentário
brief	breve, breves, curto, pequeno, resumo, sumário, tarefa, informar, instruir, instruções, brevemente, rapidamente, resumidamente

spill	derramamento, derrame, vazamento, derramar, despejar, derramamento, derrame, vazamento, repercussões, alastramento, derramado, derramados, vertida, despejados
prayer	prece, reza, súplica, contas para prece, livro de orações, reunião de oração, encontro de oração, culto de oração

chicks	pintos, filhotes, pintinhos, crias
betray	trair algo/alguém, atraiçoar, traição, traído, traídos, traída, traidor

arrangement	acordo, arranjo, disposição, mecanismo, acordos, disposições, providências, arranjos, tomar providências, planos de viagem, preparativos de viagem, providências de viagem, organização da viagem
waiter	garçom, garçon, garçons, chefe de mesa, aparador, elevador para comidas
sucker	ventosa, sugador, aproveitador, chupador, bundão, ventosas, otários
scam	esquema, truque, burla, tramoia, golpista, enganador, impostor, burlão, burlas, embustes, galopar


fraud	fraude, corrupção, evasão, falsificação, defraudador, intrujão
flu	gripe, influenza, rubor, jato, vigor, nivelar, enxaguar, enrubescer, igualar, alinhados, diretamente
brush	escova, pincel, trincha, escovar, varrer, escovar algo, aperfeiçoar, aprimorar, recordar, escovado, escovas, pincéis

adopted	adotado, adoptado, adoptados, aprovado, criança adoptada, filho adoptivo, menino adotado, filho adotivo, filhos adoptivos, filhos adoptados, filha adotiva
